id,Name_x,FIPS,year,VAC(vacantHousing),PMC,POV(poverty),UMP(unemployment),EDE (highschooldiploma),SNQ(foodaccess),HousingEviction_rate,RBS(Rentburdened),Opioidrate,x,y
41,Garfield Ridge,56,2016,5.278124928,12.19387624,8.502083252,10.19997626,20.81421739,59.37350148,3,23.71698368,9.7,-87.764246,41.796185
42,Archer Heights,57,2016,6.592626298,12.17315667,15.40597215,10.54340588,10.38542275,43.27195726,1.77,19.44428565,0,-87.726365,41.810873
43,Brighton Park,58,2016,11.85193005,12.15068403,25.92223489,10.71152393,8.426675655,44.88470858,2.69,23.47236504,3.6,-87.698859,41.817364
44,McKinley Park,59,2016,7.418048808,12.12686296,26.08694011,12.08347197,21.22537358,45.07360083,3.08,27.74156963,19.8,-87.6725,41.829927
45,Bridgeport,60,2016,8.958292553,12.09601167,19.23315475,9.919181439,27.9642185,57.20247911,1.51,25.64578083,15.6,-87.648784,41.836151
46,New City,61,2016,20.63978209,12.10281068,28.38739451,20.28775062,9.140047848,42.26880117,3.89,25.2970747,30.6,-87.659171,41.809017
47,West Elsdon,62,2016,4.706127316,12.17503288,14.25262489,12.41090252,10.38188702,54.41796964,3.26,18.70187144,0,-87.724213,41.792977
48,Gage Park,63,2016,9.505556296,12.14281845,20.93202525,15.98131959,6.147692402,32.97681362,2.92,26.15945326,10.3,-87.696433,41.795429
49,Clearing,64,2016,4.948091106,12.19059205,10.53357919,9.540567367,17.21924467,47.6327845,2.51,20.4222681,23.4,-87.768517,41.779582
50,West Lawn,65,2016,10.16434794,12.16746922,16.01825439,12.87302923,11.90166084,36.77510319,3.6,30.62458599,27.7,-87.726927,41.769774
51,Chicago Lawn,66,2016,16.6748828,12.12733416,32.22975389,24.52072927,8.182581525,28.7046449,6.02,37.74225094,33,-87.695667,41.771849
52,Ashburn,70,2016,4.926113586,12.10571169,12.73308284,12.42938339,20.51545487,61.76710701,5.33,34.32644619,16.9,-87.708363,41.745756
